Age,Number of plants,Total BOF capacity,Region
1,2,3710.0,global
2,1,3000.0,global
3,13,21772.0,global
4,11,19124.0,global
5,11,24850.0,global
6,10,17500.0,global
7,4,3695.0,global
8,6,13301.0,global
9,5,14250.0,global
10,4,3300.0,global
11,13,12793.0,global
12,9,12920.0,global
13,13,14634.0,global
14,14,23998.0,global
15,18,18746.0,global
16,23,36001.0,global
17,5,11250.0,global
18,21,24575.0,global
19,33,55300.0,global
20,24,30699.999999999996,global
21,1,1200.0,global
22,100,104405.0,global
23,97,106121.0,global
24,25,33679.0,global
25,20,26408.0,global
26,18,30981.0,global
27,15,31360.0,global
28,22,37998.0,global
29,11,10000.0,global
30,6,9850.0,global
31,12,22743.0,global
32,22,28951.0,global
33,3,5567.0,global
34,4,5000.0,global
36,5,8822.0,global
37,5,4100.0,global
38,5,22999.0,global
39,12,11440.0,global
40,1,1400.0,global
41,2,2250.0,global
42,3,7500.0,global
43,1,1100.0,global
45,1,2500.0,global
46,2,1500.0,global
48,8,22000.0,global
49,3,7501.0,global
51,2,5100.0,global
52,3,17401.0,global
53,5,4652.0,global
54,17,30298.0,global
55,10,10400.0,global
56,16,25150.0,global
57,3,10361.0,global
58,3,9999.0,global
59,7,12701.0,global
60,18,45004.0,global
61,5,9800.0,global
62,3,6750.0,global
63,2,5000.0,global
64,2,6000.0,global
65,5,9501.0,global
66,13,13398.0,global
67,48,78832.0,global
68,4,5150.0,global
70,5,9801.0,global
71,9,12250.0,global
72,10,17110.0,global
73,1,3600.0,global
74,1,4500.0,global
75,4,7200.0,global
78,2,3360.0,global
79,2,5751.0,global
82,3,3999.0,global
83,6,4260.0,global
84,2,3500.0,global
85,5,10400.0,global
86,7,6317.0,global
87,4,3000.0,global
88,1,1200.0,global
90,6,6650.0,global
91,7,15483.0,global
93,12,18201.0,global
97,2,3200.0,global
105,1,3000.0,global
107,3,9999.0,global
108,1,1000.0,global
112,4,5600.0,global
113,9,13700.0,global
116,3,7800.0,global
117,4,7800.0,global
124,6,16448.0,global
129,3,5472.0,global
130,2,2200.0,global
133,1,1140.0,global
134,4,11000.0,global
138,3,3500.0,global
147,2,1570.0,global
150,2,2600.0,global
152,1,3240.0,global
161,2,3201.0,global
173,1,1300.0,global
186,2,2600.0,global
