Age,Number of plants,Total BOF capacity,Region
1,1,2500.0,IND
1,1,1210.0,CHA
2,1,3000.0,IND
3,13,21772.0,CHA
4,11,19124.0,CHA
5,8,17850.0,CHA
6,10,17500.0,CHA
7,4,3695.0,CHA
9,2,8000.0,IND
9,2,3250.0,CHA
11,10,10743.0,CHA
12,1,3500.0,IND
12,7,6420.0,CHA
13,1,334.0,IND
13,12,14300.0,CHA
14,14,23998.0,CHA
15,16,13546.0,CHA
16,23,36001.0,CHA
17,2,2250.0,CHA
18,2,3000.0,IND
18,16,19050.0,CHA
19,3,3600.0,IND
19,27,39100.0,CHA
20,2,1200.0,IND
20,22,29499.999999999996,CHA
21,1,1200.0,CHA
22,100,104405.0,CHA
23,97,106121.0,CHA
24,22,28479.0,CHA
24,3,5200.0,EUR+RUS
25,20,26408.0,CHA
26,18,30981.0,CHA
27,10,29450.0,CHA
27,5,1910.0,IND
28,22,37998.0,CHA
29,11,10000.0,CHA
30,6,9850.0,CHA
31,6,15399.0,IND
31,6,7344.0,CHA
32,22,28951.0,CHA
33,3,5567.0,CHA
34,4,5000.0,CHA
36,2,1520.0,CHA
36,3,7302.0,IND
37,5,4100.0,CHA
39,9,6100.0,CHA
40,1,1400.0,CHA
41,2,2250.0,CHA
43,1,1100.0,IND
46,2,1500.0,CHA
48,4,5800.0,EUR+RUS
48,4,16200.0,CHA
49,2,5001.0,EUR+RUS
51,2,5100.0,EUR+RUS
53,5,4652.0,IND
54,8,13600.0,CHA
54,2,9999.0,JPN
54,3,1200.0,EUR+RUS
55,7,5264.0,CHA
55,3,5136.0,JPN
56,2,2760.0,EUR+RUS
56,11,21370.0,CHA
57,2,7161.0,JPN
57,1,3200.0,EUR+RUS
58,3,9999.0,JPN
59,5,7701.0,CHA
59,2,5000.0,EUR+RUS
60,5,5900.0,CHA
60,7,16101.0,EUR+RUS
60,6,23003.0,JPN
61,3,4799.0,EUR+RUS
62,3,6750.0,EUR+RUS
64,2,6000.0,JPN
65,3,6000.0,EUR+RUS
66,13,13398.0,IND
67,48,78832.0,CHA
68,2,3800.0,EUR+RUS
68,2,1350.0,CHA
70,5,9801.0,EUR+RUS
71,8,10650.0,CHA
71,1,1600.0,EUR+RUS
72,7,16510.0,CHA
73,1,3600.0,EUR+RUS
74,1,4500.0,JPN
75,3,6600.0,EUR+RUS
82,3,3999.0,EUR+RUS
83,1,2760.0,JPN
84,1,2300.0,EUR+RUS
85,5,10400.0,EUR+RUS
86,5,3501.0,EUR+RUS
86,2,2816.0,JPN
90,3,4650.0,CHA
90,3,2000.0,EUR+RUS
91,7,15483.0,EUR+RUS
93,12,18201.0,EUR+RUS
107,1,2499.0,IND
107,2,7500.000000000001,EUR+RUS
112,2,1500.0,EUR+RUS
113,7,11000.0,IND
116,1,1500.0,JPN
116,2,6300.0,EUR+RUS
124,2,3726.0,JPN
129,3,5472.0,EUR+RUS
130,2,2200.0,EUR+RUS
133,1,1140.0,EUR+RUS
134,4,11000.0,EUR+RUS
138,3,3500.0,EUR+RUS
147,2,1570.0,EUR+RUS
152,1,3240.0,EUR+RUS
161,2,3201.0,EUR+RUS
173,1,1300.0,EUR+RUS
186,2,2600.0,EUR+RUS
