index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,"5year BOF capacity additions (new, under construction)",Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Yearly BOF Capacity additions,Region
2000,961711.0054080689,968601.374446133,774477.4031398481,12048.99459193122,199282.59686015185,0.0,12048.99459193122,1701.3214190165345,6890.369038064153,23861.379891920093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43508.0,global
2001,1013699.0054080689,1020589.374446133,811575.4031398481,12048.99459193122,214172.59686015185,0.0,12048.99459193122,1701.3214190165345,6890.369038064153,46034.24370494831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51988.0,global
2002,1176283.005408069,1183173.3744461332,905199.8776427762,12048.99459193122,283132.12235722376,0.0,12048.99459193122,1701.3214190165345,6890.369038064153,46034.24370494831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162584.0,global
2003,1318267.005408069,1324300.2315889902,979175.2883312564,12048.99459193122,351140.71166874364,0.0,12048.99459193122,1701.3214190165345,6033.226180921296,46034.24370494831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141984.0,global
2004,1325037.005408069,1331070.2315889902,982075.2883312564,12048.99459193122,355010.71166874364,0.0,12048.99459193122,1701.3214190165345,6033.226180921296,46034.24370494831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6770.0,global
2005,1359937.005408069,1365970.2315889902,1004648.6216645897,12048.99459193122,367337.3783354103,0.0,12048.99459193122,845.818181818182,6033.226180921296,46034.24370494831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34900.0,global
2006,1422737.005408069,1428770.2315889902,1060287.9174392377,12048.99459193122,374498.0825607624,0.0,12048.99459193122,845.818181818182,6033.226180921296,28293.538929695642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62800.0,global
2007,1452267.0720747355,1460745.2315889902,1087244.5455309101,14493.927925264554,379516.4544690901,0.0,14493.927925264554,3290.7515151515145,8478.159514254628,28293.538929695642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31975.0,global
2008,1468710.2364582971,1477188.3959725518,1101084.0339030032,15186.76354170291,382812.9660969971,0.0,15186.76354170291,3290.7515151515145,8478.159514254628,28293.538929695642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17136.0,global
2009,1511211.2364582971,1519689.3959725518,1131741.3163130681,15186.76354170291,394656.68368693214,0.0,15186.76354170291,3290.7515151515145,8478.159514254628,28293.538929695642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42501.0,global
2010,1532757.2364582971,1536903.491210647,1146116.3163130681,15186.76354170291,401827.68368693214,0.0,15186.76354170291,3290.7515151515145,4146.254752349867,28293.538929695642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21546.0,global
2011,1559351.9076911737,1563498.1624435235,1167514.3163130681,16000.092308826199,407837.68368693214,0.0,16000.092308826199,3290.7515151515145,4146.254752349867,12605.548148719532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27408.0,global
2012,1582365.9076911737,1586512.1624435235,1185258.307056666,16000.092308826199,413107.69294333446,0.0,16000.092308826199,3290.7515151515145,4146.254752349867,12605.548148719532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23014.0,global
2013,1595285.9076911737,1599432.1624435235,1196658.307056666,16000.092308826199,414627.69294333446,0.0,16000.092308826199,2444.9333333333325,4146.254752349867,12605.548148719532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12920.0,global
2014,1611778.9076911737,1615925.1624435235,1206631.557056666,16000.092308826199,421147.44294333446,0.0,16000.092308826199,2444.9333333333325,4146.254752349867,12605.548148719532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16493.0,global
