,Plant ID,Plant name (English),Country/Area,Capacity operating status,Start date,Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Other/unspecified steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Other/unspecified iron capacity (ttpa),Announced date,Construction date,Pre-retirement Announcement Date,Retired Date,BOF,EAF,OHF,Other steel,BF,DRI,Other iron,Steel row identifier,BF Unit Name,Unit Status,# of BF Units,Total BF Capacity (ttpa),BF Capacity (ttpa),BF Start Date,BF Retirement Date,BF Retirement Date (1 relining),BF Retirement Date (2 relinings),Custom calculated retirement,BF production fraction,Adjusted BF capacity,Adjusted EAF capacity,Adjusted BOF capacity,Adjusted OHF capacity,Adjusted other steel capacity,Adjusted crude steel capacity,Effective Retirement Date,Effective Start Date,Effective Retirement Date (1 relining),Effective Retirement Date (2 relinings)
0,P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,1960.0,3501.0,3501.0,,,,4015.0,4015.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,2.0,4015.0,1387.0,1960.0,2024.0,,,True,0.34545454545454546,1387.0,0.0,1209.4363636363637,0.0,0.0,1209.4363636363637,2024.0,1960.0,,
1,P100000120008,Ternium Siderar San Nicolás steel plant,Argentina,operating,1960.0,3501.0,3501.0,,,,4015.0,4015.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,2.0,4015.0,2628.0,1974.0,2023.0,,,True,0.6545454545454545,2628.0,0.0,2291.5636363636363,0.0,0.0,2291.5636363636363,2023.0,1960.0,,
2,P100000120010,Voestalpine Stahl Linz steel plant,Austria,operating pre-retirement,1940.0,2000.0,2000.0,,,,1700.0,1700.0,,,,,,,True,False,False,False,True,False,False,1,BF 5,operating pre-retirement,3.0,5000.0,850.0,1941.0,2030.0,,,False,0.17,850.0000000000001,0.0,1020.0000000000001,0.0,0.0,1020.0000000000001,2030.0,1940.0,,
3,P100000120010,Voestalpine Stahl Linz steel plant,Austria,operating pre-retirement,1940.0,2000.0,2000.0,,,,1700.0,1700.0,,,,,,,True,False,False,False,True,False,False,1,BF 6,operating pre-retirement,3.0,5000.0,850.0,1941.0,2030.0,,,False,0.17,850.0000000000001,0.0,1020.0000000000001,0.0,0.0,1020.0000000000001,2030.0,1940.0,,
4,P100000120010,Voestalpine Stahl Linz steel plant,Austria,operating,1940.0,4000.0,4000.0,,,,3300.0,3300.0,,,,,,,True,False,False,False,True,False,False,0,BF A,operating,3.0,5000.0,3300.0,1977.0,2033.0,,,True,0.66,3300.0,0.0,3960.0,0.0,0.0,3960.0,2033.0,1940.0,,
5,P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating,1878.0,720.0,720.0,,,,826.0,825.0,1.0,,,,,,True,False,False,False,True,True,False,0,BF 1,operating,2.0,1650.0,825.0,,2033.0,,,True,0.5,825.0,0.0,785.0,0.0,0.0,785.0,2033.0,1878.0,,
6,P100000120011,Voestalpine Stahl Donawitz steel plant,Austria,operating pre-retirement,1878.0,850.0,850.0,,,,825.0,825.0,,,,,,,True,False,False,False,True,False,False,1,BF 4,operating pre-retirement,2.0,1650.0,825.0,1941.0,2027.0,,,False,0.5,825.0,0.0,785.0,0.0,0.0,785.0,2027.0,1878.0,,
7,P100000120012,BlueScope Port Kembla steel plant,Australia,operating pre-retirement,1928.0,,,,,,3000.0,3000.0,,,,1926.0,,,False,False,False,False,True,False,False,1,BF 5,operating pre-retirement,1.0,3000.0,3000.0,1972.0,2030.0,,,False,1.0,3000.0,0.0,0.0,0.0,0.0,0.0,2030.0,1928.0,,
8,P100000120012,BlueScope Port Kembla steel plant,Australia,operating,1928.0,3200.0,3200.0,,,,,,,,,1926.0,,,True,False,False,False,False,False,False,0,,,1.0,3000.0,,,,,,False,,,,3200.0,,,,,1928.0,,
9,P100000120013,GFG Liberty Steel Australia Whyalla steel plant,Australia,operating pre-retirement,1941.0,1200.0,1200.0,,,,1200.0,1200.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating pre-retirement,1.0,1200.0,1200.0,1965.0,,,,True,1.0,1200.0,0.0,1200.0,0.0,0.0,1200.0,,1941.0,,
10,P100000120017,ArcelorMittal Zenica steel plant,Bosnia and Herzegovina,operating,1892.0,1940.0,1140.0,800.0,,,1100.0,1100.0,,,,,,,True,True,False,False,True,False,False,0,BF 4,operating,1.0,1100.0,1100.0,2004.0,2033.0,,2043.0,True,1.0,1100.0,800.0,1140.0,0.0,0.0,1940.0,2033.0,1892.0,,2043.0
11,P100000120027,ArcelorMittal Gent steel plant,Belgium,operating,1966.0,2500.0,2500.0,,,,2300.0,2300.0,,,,,,,True,False,False,False,True,False,False,0,BF B,operating,2.0,5000.0,2300.0,1967.0,2036.0,,,True,0.46,2300.0,0.0,2300.0,0.0,0.0,2300.0,2036.0,1966.0,,
12,P100000120027,ArcelorMittal Gent steel plant,Belgium,operating pre-retirement,1966.0,2500.0,2500.0,,,,2700.0,2700.0,,,,,,,True,False,False,False,True,False,False,1,BF A,operating pre-retirement,2.0,5000.0,2700.0,1966.0,2030.0,,,False,0.54,2700.0,0.0,2700.0,0.0,0.0,2700.0,2030.0,1966.0,,
13,P100000120033,Gerdau Açominas Ouro Branco steel plant,Brazil,operating,1986.0,4360.0,4360.0,,,,4348.0,4348.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,2.0,4348.0,2815.0,1986.0,2016.0,,,True,0.6474241030358786,2815.0,0.0,2822.769089236431,0.0,0.0,2822.769089236431,2016.0,1986.0,,
14,P100000120033,Gerdau Açominas Ouro Branco steel plant,Brazil,operating,1986.0,4360.0,4360.0,,,,4348.0,4348.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,2.0,4348.0,1533.0,2007.0,2027.0,2042.0,2052.0,True,0.35257589696412145,1533.0,0.0,1537.2309107635695,0.0,0.0,1537.2309107635695,2027.0,1986.0,2042.0,2052.0
