Age,Number of plants,Total BOF capacity
2,20,27599.077503376728
3,36,51730.90023514031
4,23,33161.54717914095
5,14,29964.46736642703
6,8,19600.0
7,2,3089.5149776927983
8,6,9100.0
9,4,9250.0
10,7,3433.6805555555557
11,6,4820.0
12,7,11769.668246445497
13,7,7125.0
14,13,22482.347826086956
15,16,19475.0
16,21,25403.339850209122
17,6,11860.482490833912
18,20,21537.313738217897
19,20,38860.0
20,18,26387.180251207727
21,8,11401.346405523853
22,97,100385.08304407999
23,75,89486.61928779176
24,23,25152.248120961547
25,29,35043.0
26,21,28881.0
27,5,1910.0
28,15,29750.0
29,12,8782.068965517241
30,3,3000.0
31,13,19031.5
32,20,30625.535704047703
33,8,14341.990866807979
34,5,8232.187458690767
36,2,1520.0
37,5,6800.0
38,5,23000.0
39,11,12340.0
40,2,2874.65495608532
41,3,3430.0
42,3,7500.0
43,1,1100.0
44,2,4471.153846153847
45,2,4300.0
46,2,1500.0
47,1,3200.0
48,10,26058.131580924364
49,4,8700.0
50,1,3200.0
51,3,6385.34504391468
52,5,24591.126855600538
53,13,13150.0
54,18,39078.78543980769
55,11,15174.0
56,14,22737.498673740054
57,1,1760.8695652173913
58,4,13292.393026941363
59,8,13933.766233766233
60,16,45000.0
61,7,9400.0
62,1,1467.391304347826
63,3,6938.596491228071
64,3,6967.74193548387
65,5,9500.0
66,11,10227.666666666668
67,43,58375.80327134986
68,5,6434.56132255959
70,13,31904.200079313727
71,10,13850.0
72,10,17370.0
73,4,1770.353302611367
74,4,11350.0
75,5,7450.0
78,2,4500.0
79,4,9350.0
82,3,3999.0
83,2,5570.0
84,3,2825.0
85,4,9241.699346405228
86,6,6316.0
87,3,3000.0
88,1,1200.0
90,6,6650.0
91,6,15483.0
93,11,19100.0
96,5,6050.0
97,2,3200.0
105,1,3000.0
107,1,2500.0
108,1,1000.0
109,7,24100.0
112,2,4100.0
113,7,11000.0
116,1,1448.0
117,4,7800.0
119,1,1361.904761904762
120,1,1250.0
124,4,13248.0
129,2,5472.0
130,1,2200.0
133,1,1140.0
138,1,3500.0
147,1,785.0
150,2,2600.0
152,2,3240.0
173,2,1300.0
