index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Region,Additional cumulative capacity to meet gov target
2000,983778.1062908202,990528.4981276575,866809.3291615064,8321.820408265867,125290.59753757951,0.0,8321.820408265867,1561.3442177896768,6750.391836837295,19209.574069757622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2001,1024140.3544117818,1030890.746248619,903053.7084682756,8321.820408265867,129408.46635177186,0.0,8321.820408265867,1561.3442177896768,6750.391836837295,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2002,1151431.9736995734,1158182.3655364108,1001515.9497861271,8321.820408265867,158237.84432171215,0.0,8321.820408265867,1561.3442177896768,6750.391836837295,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2003,1276996.0567436535,1282889.305723348,1086265.0514008622,8321.820408265867,199052.8257510572,0.0,8321.820408265867,1561.3442177896768,5893.248979694438,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2004,1291372.4031491773,1297265.6521288718,1102066.397806386,9746.820408265867,199052.8257510572,0.0,9746.820408265867,845.454545454546,5893.248979694438,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2005,1317759.583400385,1323652.8323800794,1125953.5780575937,9746.820408265867,201552.8257510572,0.0,9746.820408265867,845.454545454546,5893.248979694438,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2006,1363969.583400385,1369862.8323800794,1167117.2323654091,9746.820408265867,206599.17144324176,0.0,9746.820408265867,845.454545454546,5893.248979694438,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2007,1390462.4526941585,1398800.1461182975,1192940.9905480715,12191.264852710312,209712.72699879733,0.0,12191.264852710312,3289.898989898991,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2008,1408208.9351849924,1416546.6286091313,1209640.9614109984,12191.264852710312,210759.2386267043,0.0,12191.264852710312,3289.898989898991,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2009,1440112.2750352016,1448449.9684593405,1231139.3012612076,12191.264852710312,221164.2386267043,0.0,12191.264852710312,3289.898989898991,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
