Historic Time,Region,value
1900,CAZ,811913.5050469892
1900,CHA,816346.1538461539
1900,EUR,9384563.27477518
1900,IND,322943.09084580577
1900,JPN,4046811.3470240165
1900,LAM,598998.6077271145
1900,MEA,31521.058127392967
1900,NEU,174829.14689781872
1900,OAS,132733.20570831883
1900,REF,5421729.228170373
1900,SSA,242564.3926209537
1900,USA,6311648.625130526
1901,CAZ,889375.2175426383
1901,CHA,894230.7692307691
1901,EUR,10279910.300990477
1901,IND,353753.9157674904
1901,JPN,4432902.888966237
1901,LAM,656146.8847894187
1901,MEA,34528.36756004177
1901,NEU,191508.95949937738
1901,OAS,145396.79777236338
1901,REF,5938996.681034683
1901,SSA,265706.5784893839
1901,USA,6913820.048729551
1902,CAZ,989788.5485555169
1902,CHA,995192.3076923076
1902,EUR,11440545.334973274
1902,IND,393693.87399930385
1902,JPN,4933391.924817264
1902,LAM,730227.9846849982
1902,MEA,38426.73163940132
1902,NEU,213130.9387976942
1902,OAS,161812.5652627915
1902,REF,6609528.564377309
1902,SSA,295705.7083188305
1902,USA,7694412.634876436
1903,CAZ,1035691.7855899754
1903,CHA,1041346.1538461538
1903,EUR,11971121.350508263
1903,IND,411952.14061956137
1903,JPN,5162186.912634876
1903,LAM,764093.6303515489
1903,MEA,40208.84093282283
1903,NEU,223015.27219121042
1903,OAS,169316.91611555862
1903,REF,6916057.425333938
1903,SSA,309419.5962408632
1903,USA,8051254.959972153
1904,CAZ,1041429.6902192831
1904,CHA,1047115.3846153847
1904,EUR,12037443.352450142
1904,IND,414234.42394709366
1904,JPN,5190786.286112078
1904,LAM,768326.8360598678
1904,MEA,40431.604594500524
1904,NEU,224250.8138654
1904,OAS,170254.95997215455
1904,REF,6954373.5329535175
1904,SSA,311133.8322311173
1904,USA,8095860.25060912
1905,CAZ,1288159.589279499
1905,CHA,1295192.3076923075
1905,EUR,14889289.435950724
1905,IND,512372.6070309781
1905,JPN,6420559.345631744
1905,LAM,950354.6815175775
1905,MEA,50010.44204664114
1905,NEU,277379.10585554986
1905,OAS,210590.84580577794
1905,REF,8601966.160595398
1905,SSA,384845.9798120432
1905,USA,10013887.747998608
1906,CAZ,1468903.5851026801
1906,CHA,1476923.076923077
1906,EUR,16978432.49711976
1906,IND,584264.5318482423
1906,JPN,7321439.610163593
1906,LAM,1083700.6613296208
1906,MEA,57027.497389488344
1906,NEU,316298.6685925201
1906,OAS,240139.22728854857
1906,REF,9808923.550612124
1906,SSA,438844.413505047
1906,USA,11418954.403063001
1907,CAZ,1520544.7267664464
1907,CHA,1528846.1538461538
1907,EUR,17575330.514596622
1907,IND,604805.081796032
1907,JPN,7578833.971458406
1907,LAM,1121799.5127044902
1907,MEA,59032.37034458754
1907,NEU,327418.54366022587
1907,OAS,248581.6219979116
1907,REF,10153768.51918833
1907,SSA,454272.5374173338
1907,USA,11820402.018795684
1908,CAZ,1187746.25826662
1908,CHA,1194230.7692307692
1908,EUR,13728654.401967928
1908,IND,472432.6487991646
1908,JPN,5920070.309780717
1908,LAM,876273.5816219979
1908,MEA,46112.077967281584
1908,NEU,255757.12655723302
1908,OAS,194175.0783153498
1908,REF,7931434.27725277
1908,SSA,354846.8499825966
1908,USA,9233295.161851723
1909,CAZ,1554972.1545422904
1909,CHA,1563461.5384615385
1909,EUR,17973262.526247866
1909,IND,618498.7817612252
1909,JPN,7750430.212321615
1909,LAM,1147198.7469544031
1909,MEA,60368.952314653674
1909,NEU,334831.79370536306
1909,OAS,254209.88513748697
1909,REF,10383665.164905801
1909,SSA,464557.9533588583
1909,USA,12088033.762617473
1910,CAZ,1729978.2457361643
1910,CHA,1739423.0769230772
1910,EUR,19996083.585475028
1910,IND,688108.4232509573
1910,JPN,8622711.103376262
1910,LAM,1276311.5210581275
1910,MEA,67163.24399582318
1910,NEU,372515.8147681438
1910,OAS,282820.2227636617
1910,REF,11552306.44730295
1910,SSA,516842.1510616081
1910,USA,13448495.127044901
1911,CAZ,1735716.1503654716
1911,CHA,1745192.3076923077
1911,EUR,20062405.587416902
1911,IND,690390.7065784894
1911,JPN,8651310.476853464
1911,LAM,1280544.7267664464
1911,MEA,67386.00765750087
1911,NEU,373751.3564423333
1911,OAS,283758.2666202576
1911,REF,11590622.554922527
1911,SSA,518556.3870518622
1911,USA,13493100.417681865
1912,CAZ,2088597.2850678733
1912,CHA,2100000.0
1912,EUR,24141208.706842154
1912,IND,830751.1312217194
1912,JPN,10410171.945701357
1912,LAM,1540886.8778280541
1912,MEA,81085.97285067874
1912,NEU,449737.16940498946
1912,OAS,341447.963800905
1912,REF,13947063.173526611
1912,SSA,623981.9004524886
1912,USA,16236325.791855203
1913,CAZ,2191879.5683954055
1913,CHA,2203846.153846154
1913,EUR,25335004.74179589
1913,IND,871832.2311172991
1913,JPN,10924960.668290986
1913,LAM,1617084.5805777933
1913,MEA,85095.71876087713
1913,NEU,471976.9195404011
1913,OAS,358332.7532196311
1913,REF,14636753.110679027
1913,SSA,654838.1482770623
1913,USA,17039221.02332057
1914,CAZ,1732847.198050818
1914,CHA,1742307.6923076923
1914,EUR,20029244.586445965
1914,IND,689249.5649147233
1914,JPN,8637010.790114863
1914,LAM,1278428.1239122867
1914,MEA,67274.62582666203
1914,NEU,373133.5856052385
1914,OAS,283289.24469195964
1914,REF,11571464.501112739
1914,SSA,517699.2690567351
1914,USA,13470797.772363383
1915,CAZ,1910722.2415593455
1915,CHA,1921153.8461538458
1915,EUR,22085226.646644056
1915,IND,760000.3480682212
1915,JPN,9523591.367908109
1915,LAM,1409657.5008701703
1915,MEA,74180.29933867037
1915,NEU,411435.37750511395
1915,OAS,312368.60424643225
1915,REF,12759263.837319674
1915,SSA,570840.5847546118
1915,USA,14853561.78210929
1916,CAZ,2243520.7100591715
1916,CHA,2255769.230769231
1916,EUR,25931902.759272754
1916,IND,892372.7810650888
1916,JPN,11182355.0295858
1916,LAM,1655183.4319526628
1916,MEA,87100.59171597633
1916,NEU,483096.79460810684
1916,OAS,366775.1479289941
1916,REF,14981598.079255234
1916,SSA,670266.2721893492
1916,USA,17440668.639053255
1917,CAZ,2352540.8980160113
1917,CHA,2365384.615384615
1917,EUR,27192020.79616836
1917,IND,935736.1642882004
1917,JPN,11725743.125652628
1917,LAM,1735614.3404107206
1917,MEA,91333.1012878524
1917,NEU,506572.08641770796
1917,OAS,384597.981204316
1917,REF,15709604.124027228
1917,SSA,702836.7560041768
1917,USA,18288169.161155585
1918,CAZ,2214831.186912635
1918,CHA,2226923.076923077
1918,EUR,25600292.74956338
1918,IND,880961.3644274278
1918,JPN,11039358.162199792
1918,LAM,1634017.4034110687
1918,MEA,85986.77340758788
1918,NEU,476919.0862371592
1918,OAS,362084.92864601465
1918,REF,14790017.54115734
1918,SSA,661695.0922380787
1918,USA,17217642.18586843
1919,CAZ,1678337.1040723983
1919,CHA,1687500.0
1919,EUR,19399185.56799816
1919,IND,667567.8733031674
1919,JPN,8365316.7420814475
