"","model","scenario","region","variable","unit","period","value"
"1","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2020,12.94
"2","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2025,15.0273936
"3","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2030,14.0365883
"4","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2035,13.0253466
"5","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2040,11.3632735
"6","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2045,10.4175405
"7","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2050,9.351794
"8","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2055,9.6627458
"9","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2060,9.7183429
"10","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2070,9.4504903
"11","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2080,9.8586376
"12","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2090,9.1971341
"13","REMIND","default","CAZ","Production|Industry|Steel|Primary","Mt/yr",2100,9.8728639
"14","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2020,977.2
"15","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2025,926.3014455
"16","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2030,875.4887165
"17","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2035,800.1765936
"18","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2040,699.2389965
"19","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2045,560.8139248
"20","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2050,371.0657191
"21","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2055,348.1437729
"22","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2060,357.9165562
"23","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2070,312.6034009
"24","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2080,302.8557105
"25","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2090,283.6370628
"26","REMIND","default","CHA","Production|Industry|Steel|Primary","Mt/yr",2100,247.7590848
"27","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2020,88.66
"28","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2025,92.1575867
"29","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2030,86.993861
"30","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2035,86.5658724
"31","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2040,80.1421086
"32","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2045,80.7175515
"33","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2050,79.4661674
"34","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2055,81.8455265
"35","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2060,80.140247
"36","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2070,79.8081694
"37","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2080,82.2217061
"38","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2090,75.9174572
"39","REMIND","default","EUR","Production|Industry|Steel|Primary","Mt/yr",2100,65.7291265
"40","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2020,78.23
"41","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2025,147.3453148
"42","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2030,216.9792694
"43","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2035,245.5323043
"44","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2040,287.2081185
"45","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2045,324.2703699
"46","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2050,308.970295
"47","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2055,276.9370575
"48","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2060,235.0567526
"49","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2070,122.5007784
"50","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2080,77.3152549
"51","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2090,73.9403897
"52","REMIND","default","IND","Production|Industry|Steel|Primary","Mt/yr",2100,74.4317985
"53","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2020,68.12
"54","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2025,71.1087297
"55","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2030,68.62092
"56","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2035,59.3626543
"57","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2040,55.0537215
"58","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2045,55.8754696
"59","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2050,55.0574642
"60","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2055,55.6507064
"61","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2060,55.0964134
"62","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2070,47.7499309
"63","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2080,45.3768201
"64","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2090,39.5984069
"65","REMIND","default","JPN","Production|Industry|Steel|Primary","Mt/yr",2100,34.7737539
"66","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2020,32.05
"67","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2025,30.5945832
"68","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2030,39.1619939
"69","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2035,52.3627858
"70","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2040,59.4972014
"71","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2045,60.9411758
"72","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2050,56.7289697
"73","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2055,52.1251705
"74","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2060,46.7023963
"75","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2070,36.6849817
"76","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2080,32.4459998
"77","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2090,28.110036
"78","REMIND","default","LAM","Production|Industry|Steel|Primary","Mt/yr",2100,25.338813
"79","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2020,39.73
"80","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2025,40.3227114
"81","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2030,52.2554161
"82","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2035,65.8060819
"83","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2040,72.2165717
"84","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2045,75.1983988
"85","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2050,72.4801016
"86","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2055,70.2546423
"87","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2060,73.1277509
"88","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2070,59.2562133
"89","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2080,59.3750347
"90","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2090,60.8191676
"91","REMIND","default","MEA","Production|Industry|Steel|Primary","Mt/yr",2100,55.0703995
"92","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2020,13.92
"93","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2025,12.8022109
"94","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2030,11.5942534
"95","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2035,10.2214648
"96","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2040,9.1908499
"97","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2045,10.4973632
"98","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2050,10.2161865
"99","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2055,10.2915957
"100","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2060,9.2931747
"101","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2070,8.6963927
"102","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2080,8.8082487
"103","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2090,8.1629951
"104","REMIND","default","NEU","Production|Industry|Steel|Primary","Mt/yr",2100,7.1263768
"105","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2020,75.03
"106","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2025,97.6133417
"107","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2030,141.9892302
"108","REMIND","default","OAS","Production|Industry|Steel|Primary","Mt/yr",2035,135.8278375
