Historic Time,Region,value
1900,CAZ,162382.70100939783
1900,CHA,163269.23076923075
1900,EUR,1876912.6549550355
1900,IND,64588.61816916114
1900,JPN,809362.2694048029
1900,LAM,119799.72154542286
1900,MEA,6304.211625478592
1900,NEU,34965.829379563744
1900,OAS,26546.64114166376
1900,REF,1084345.8456340742
1900,SSA,48512.87852419074
1900,USA,1262329.7250261046
1901,CAZ,184118.38464074724
1901,CHA,183888.3240051242
1901,EUR,2127957.053796909
1901,IND,70945.64701023497
1901,JPN,931686.1830112981
1901,LAM,134523.53538658124
1901,MEA,7182.69666572505
1901,NEU,39398.05981704848
1901,OAS,29875.2944018516
1901,REF,1196930.0200380557
1901,SSA,55044.99812299446
1901,USA,1433961.6473595332
1902,CAZ,211819.5231510387
1902,CHA,210216.17174127954
1902,EUR,2447739.6207002085
1902,IND,79164.48489669604
1902,JPN,1086812.5570470812
1902,LAM,153321.41138536023
1902,MEA,8300.241935002121
1902,NEU,45045.49233252555
1902,OAS,34118.046608688295
1902,REF,1342114.2488039883
1902,SSA,63357.85177414619
1902,USA,1652412.0342495746
1903,CAZ,228840.98322601366
1903,CHA,225742.45563173815
1903,EUR,2643877.276761521
1903,IND,83046.02133287542
1903,JPN,1189192.9953179038
1903,LAM,164150.1547775721
1903,MEA,9004.211909239486
1903,NEU,48367.70204044773
1903,OAS,36593.59513614677
1903,REF,1414750.2294711277
1903,SSA,68470.115624508
1903,USA,1787773.499216784
1904,CAZ,237310.16043588365
1904,CHA,232754.6985768344
1904,EUR,2741000.1306502577
1904,IND,83708.97681740992
1904,JPN,1247770.9697194963
1904,LAM,168739.07410959533
1904,MEA,9373.102207080105
1904,NEU,49853.78278927335
1904,OAS,37677.639414120946
1904,REF,1432918.1827150723
1904,SSA,71013.8350226567
1904,USA,1856282.5087390952
1905,CAZ,302394.7673720163
1905,CHA,294965.47700524656
1905,EUR,3491653.7913640323
1905,IND,103781.34794072139
1905,JPN,1607351.6772485413
1905,LAM,213193.72227558002
1905,MEA,11986.091412185993
1905,NEU,63144.53841743944
1905,OAS,47673.2214639031
1905,REF,1785025.6068364624
1905,SSA,90488.50322463637
1905,USA,2367996.5337699614
1906,CAZ,354878.75138716766
1906,CHA,344345.0451717703
1906,EUR,4096205.5587892286
1906,IND,118605.43146407761
1906,JPN,1905433.6757447703
1906,LAM,248129.89909503912
1906,MEA,14112.770020163203
1906,NEU,73660.91155880518
1906,OAS,55557.71863068736
1906,REF,2049715.7669933354
1906,SSA,106177.00149526898
1906,USA,2781648.140312793
1907,CAZ,377709.6232484369
1907,CHA,364654.9253733631
1907,EUR,4357995.828644105
1907,IND,123034.39251590251
1907,JPN,2047121.043435377
1907,LAM,261965.8135939293
1907,MEA,15066.832977324322
1907,NEU,77933.32037531873
1907,OAS,58723.64921680555
1907,REF,2136330.3066052413
1907,SSA,112975.34239415027
1907,USA,2963040.4564070213
1908,CAZ,303087.87684976636
1908,CHA,291197.84440580517
1908,EUR,3495488.217817539
1908,IND,96298.98720357542
1908,JPN,1657107.4475366448
1908,LAM,208555.90019229345
1908,MEA,12124.830216433898
1908,NEU,62165.7491248905
1908,OAS,46798.95190028273
1908,REF,1679987.375255515
1908,SSA,90618.64534419877
1908,USA,2379316.752083457
1909,CAZ,407276.42825898615
1909,CHA,389477.80729360564
1909,EUR,4694871.929917195
1909,IND,126312.49917544813
1909,JPN,2245016.858949673
1909,LAM,278088.26964719157
1909,MEA,16336.493664057874
1909,NEU,83041.66751422654
1909,OAS,62457.90908563032
1909,REF,2213927.43745053
1909,SSA,121706.49902590709
1909,USA,3199103.5924088005
1910,CAZ,464712.97116139357
1910,CHA,442409.0852103427
1910,EUR,5354269.0754094375
1910,IND,140781.3787424085
1910,JPN,2581298.3582973494
1910,LAM,314907.3707877378
1910,MEA,18687.14781825525
1910,NEU,94193.29367220154
1910,OAS,70782.84274042817
1910,REF,2479054.3524417076
1910,SSA,138784.29816232025
1910,USA,3652028.548449768
1911,CAZ,477831.165387357
1911,CHA,452924.4409020817
1911,EUR,5502467.052582868
1911,IND,141487.98876905124
1911,JPN,2673290.9978579045
1911,LAM,321392.6891914641
1911,MEA,19259.883094580924
1911,NEU,96280.87359159463
1911,OAS,72289.27757811802
1911,REF,2503086.6797956754
1911,SSA,142600.04470361499
1911,USA,3756579.744421399
1912,CAZ,588834.3772382484
1912,CHA,555798.7591445366
1912,EUR,6776902.000409268
1912,IND,170524.79432461
1912,JPN,3316626.4442791166
1912,LAM,393161.7925492234
1912,MEA,23786.52646456227
1912,NEU,117947.55813371067
1912,OAS,88482.41279203272
1912,REF,3030761.0359043204
1912,SSA,175585.77459065325
1912,USA,4630645.688947347
1913,CAZ,632418.4425594761
1913,CHA,594509.0894345744
1913,EUR,7274210.731096506
1913,IND,179224.48448238318
1913,JPN,3584831.919800039
1913,LAM,419225.06836537365
1913,MEA,25600.220961873696
1913,NEU,125929.80987490155
