Historic Time,Region,value
1900,CAZ,649530.8040375913
1900,CHA,653076.923076923
1900,EUR,7507650.619820142
1900,IND,258354.47267664463
1900,JPN,3237449.0776192136
1900,LAM,479198.88618169166
1900,MEA,25216.846501914377
1900,NEU,139863.31751825497
1900,OAS,106186.56456665506
1900,REF,4337383.382536299
1900,SSA,194051.51409676296
1900,USA,5049318.900104421
1901,CAZ,704836.5125760242
1901,CHA,709692.0747101445
1901,EUR,8144841.344164
1901,IND,282389.3625182541
1901,JPN,3498896.946955297
1901,LAM,520768.3872622163
1901,MEA,27326.983205163386
1901,NEU,151872.81962951453
1901,OAS,115302.19717451045
1901,REF,4737825.360624431
1901,SSA,210423.0077106506
1901,USA,5474944.483905893
1902,CAZ,776998.8181796402
1902,CHA,783483.35239454
1902,EUR,8976404.143225124
1902,IND,313588.9657605418
1902,JPN,3841153.858207978
1902,LAM,574947.2484162893
1902,MEA,30083.190209649056
1902,NEU,167534.75071786088
1902,OAS,127190.32214593522
1902,REF,5257859.40279124
1902,SSA,231796.32147509346
1902,USA,6030636.646599065
1903,CAZ,805273.6047329234
1903,CHA,813189.7567851425
1903,EUR,9300603.18025004
1903,IND,327417.47696763446
1903,JPN,3964066.7254377017
1903,LAM,596779.7508084258
1903,MEA,31133.992608102642
1903,NEU,173750.6085545931
1903,OAS,131906.73918283137
1903,REF,5486130.26642137
1903,SSA,240051.6052102144
1903,USA,6244975.535238364
1904,CAZ,801932.0217330342
1904,CHA,811029.1816944636
1904,EUR,9259521.862913627
1904,IND,328512.7192253783
1904,JPN,3930494.7422958226
1904,LAM,595227.5234716017
1904,MEA,30960.212243834983
1904,NEU,173150.73737483076
1904,OAS,131448.70992937483
1904,REF,5500866.1777717965
1904,SSA,238873.01940617236
1904,USA,6213868.916703778
1905,CAZ,982269.865057779
1905,CHA,994928.8338500166
1905,EUR,11338689.345758267
1905,IND,405453.2021895167
1905,JPN,4792996.048541778
1905,LAM,730236.0817362543
1905,MEA,37866.834791367044
1905,NEU,212240.02277275713
1905,OAS,161120.3665078847
1905,REF,6784733.88158456
1905,SSA,292362.71076407685
1905,USA,7604753.936626161
1906,CAZ,1109088.132600719
1906,CHA,1125127.2197578985
1906,EUR,12799020.36401068
1906,IND,461329.36182018113
1906,JPN,5387181.627238121
1906,LAM,825844.0826477386
1906,MEA,42691.59884934314
1906,NEU,239815.97692627023
1906,OAS,182050.6705880513
1906,REF,7714626.790578125
1906,SSA,329846.4740027756
1906,USA,8579116.112131553
1907,CAZ,1136686.8007373475
1907,CHA,1154950.06532761
1907,EUR,13113772.842350535
1907,IND,476498.62332331296
1907,JPN,5495492.657013043
1907,LAM,847784.0059307783
1907,MEA,43686.90522067709
1907,NEU,245965.70277123502
1907,OAS,186715.15478884298
1907,REF,7962982.359240007
1907,SSA,337780.07396619715
1907,USA,8784793.004267367
1908,CAZ,879003.3074223849
1908,CHA,894566.2453399457
1908,EUR,10137969.322757566
1908,IND,371388.6785326055
1908,JPN,4229369.775924574
1908,LAM,656690.1965053938
1908,MEA,33730.32588483965
1908,NEU,190349.6997083729
1908,OAS,144493.3583436495
1908,REF,6202282.867991301
1908,SSA,260989.90312221667
1908,USA,6787147.515231371
1909,CAZ,1139121.7862385227
1909,CHA,1161194.3488012664
1909,EUR,13134139.4346975
1909,IND,485141.05596700846
